gx -8.84028e-08, gy -1.52173e-10, gz 2.10439e-07
qx -0.00158054, qy -0.00155558, qz -0.711887
roll 0.00015444, pitch -0.00192915, yaw -0.000586479
ax 0.0435099, ay -0.000120351, az 9.8099
gx -6.76521e-08, gy -1.8659e-10, gz 2.18297e-07
qx -0.00158054, qy -0.00155558, qz -0.711887
roll -0.000690437, pitch -0.0147021, yaw -0.00057944
ax 0.0435099, ay -0.000120369, az 9.8099
gx -5.62737e-08, gy -1.95774e-10, gz 2.19163e-07
qx -0.00158054, qy -0.00155558, qz -0.711887
roll -0.000267955, pitch -0.0083153, yaw -0.000584295
ax 0.0435099, ay -0.000120395, az 9.8099
gx -3.20438e-08, gy -1.93685e-10, gz 2.14724e-07
qx -0.00158054, qy -0.00155558, qz -0.711887
roll 0.000576814, pitch 0.00445701, yaw -0.000585911
ax 0.0435099, ay -0.000120402, az 9.8099
gx -1.94197e-08, gy -1.82231e-10, gz 2.09463e-07
qx -0.00158054, qy -0.00155558, qz -0.711887
roll 0.000153869, pitch -0.00193769, yaw -0.000586437
ax 0.0435099, ay -0.000120404, az 9.8099
gx 6.25528e-09, gy -1.39682e-10, gz 1.931e-07
qx -0.00158054, qy -0.00155558, qz -0.711887
roll -0.000690991, pitch -0.0147106, yaw -0.000579392
ax 0.0435099, ay -0.0001204, az 9.8099
gx 1.90651e-08, gy -1.12625e-10, gz 1.82152e-07
qx -0.00158054, qy -0.00155558, qz -0.711887
roll -0.000268509, pitch -0.0083237, yaw -0.000584252
ax 0.0435099, ay -0.000120378, az 9.8099
gx 4.40294e-08, gy -4.47712e-11, gz 1.55237e-07
qx -0.00158054, qy -0.00155558, qz -0.711887
roll 0.000576266, pitch 0.00444863, yaw -0.000585879
ax 0.0435099, ay -0.000120362, az 9.8099
gx 5.59495e-08, gy -6.60995e-12, gz 1.39523e-07
qx -0.00158054, qy -0.00155558, qz -0.711887
roll 0.000153317, pitch -0.00194615, yaw -0.000586403
ax 0.0435099, ay -0.000120319, az 9.8099
gx 7.8107e-08, gy 6.88634e-11, gz 1.04314e-07
qx -0.00158054, qy -0.00155558, qz -0.711887
roll -0.000691528, pitch -0.014719, yaw -0.000579357
ax 0.0435099, ay -0.000120263, az 9.8099
gx 9.73387e-08, gy 1.34422e-10, gz 6.51848e-08
qx -0.00158054, qy -0.00155558, qz -0.711887
roll 0.000153428, pitch -0.00194465, yaw -0.000586393
ax 0.0435099, ay -0.000120197, az 9.8099
gx 1.12924e-07, gy 1.8319e-10, gz 2.35998e-08
qx -0.00158054, qy -0.00155558, qz -0.711887
roll -0.000691413, pitch -0.0147175, yaw -0.000579353
ax 0.0435099, ay -0.000120161, az 9.8099
gx 1.19162e-07, gy 1.99317e-10, gz 2.37109e-09
qx -0.00158053, qy -0.00155558, qz -0.711887
roll -0.000268932, pitch -0.00833057, yaw -0.000584221
ax -2.60586, ay 0.386341, az 4.63935
gx 1.38992, gy -0.915369, gz -0.0712242
qx 0.00365338, qy -0.0276564, qz -0.712377
roll 0.0906915, pitch -0.053944, yaw -0.00722031
ax 3.43521, ay 0.876774, az 17.5458
gx -0.703437, gy 0.390102, gz -0.172112
qx 0.000263693, qy -0.0152559, qz -0.714535
roll 0.0666478, pitch -0.0472247, yaw -0.0115658
ax 0.101274, ay 0.0987681, az 9.69172
gx -0.110136, gy 0.0813526, gz -0.00144112
qx -0.000285111, qy -0.0101095, qz -0.714616
roll 0.0488615, pitch -0.0350467, yaw -0.0109126
ax 0.10258, ay 0.0846637, az 9.71937
gx -0.088006, gy 0.0641065, gz -0.00135235
qx -0.000539536, qy -0.00838618, qz -0.714645
roll 0.0405803, pitch -0.0296687, yaw -0.0106865
ax 0.0817747, ay 0.0543085, az 9.7521
gx -0.0562556, gy 0.0407434, gz -0.000966874
qx -0.000910172, qy -0.00591132, qz -0.714684
roll 0.0260427, pitch -0.0204211, yaw -0.0103853
ax 0.0740997, ay 0.0434416, az 9.76376
gx -0.0449765, gy 0.0325001, gz -0.000790232
qx -0.00104318, qy -0.00503354, qz -0.714697
roll 0.0191013, pitch -0.0161163, yaw -0.0102861
ax 0.0630593, ay 0.0277372, az 9.78047
gx -0.0287477, gy 0.0206849, gz -0.000515207
qx -0.00123618, qy -0.00377232, qz -0.714716
roll 0.00624913, pitch -0.00825699, yaw -0.0101668
ax 0.0560053, ay 0.0176493, az 9.79111
gx -0.0183733, gy 0.0131684, gz -0.000339929
qx -0.00136089, qy -0.00296757, qz -0.714727
roll -0.00606302, pitch -0.00109969, yaw -0.0101354
ax 0.051497, ay 0.0111901, az 9.79789
gx -0.0117419, gy 0.0083846, gz -0.000238116
qx -0.0014414, qy -0.00245405, qz -0.714734
roll 0.00428041, pitch -0.00698687, yaw -0.0101965
ax 0.0498955, ay 0.00889695, az 9.8003
gx -0.00938645, gy 0.0066908, gz -0.000206185
qx -0.00147021, qy -0.00227189, qz -0.714737
roll -0.00160998, pitch -0.00365633, yaw -0.010173
ax 0.0475551, ay 0.00559985, az 9.80376
gx -0.00599803, gy 0.004261, gz -0.000149464
qx -0.00151191, qy -0.00201013, qz -0.714741
roll 0.00920114, pitch -0.00959187, yaw -0.010256
ax 0.0467375, ay 0.0044328, az 9.80499
gx -0.00479458, gy 0.00340053, gz -0.000123867
qx -0.00152682, qy -0.00191728, qz -0.714743
roll 0.00343897, pitch -0.00639963, yaw -0.0102143
ax 0.0455637, ay 0.0028484, az 9.80676
gx -0.00306269, gy 0.00216587, gz -8.61201e-05
qx -0.00154838, qy -0.00178386, qz -0.714746
roll -0.00798147, pitch -6.3652e-05, yaw -0.0101837
ax 0.0451478, ay 0.00224044, az 9.80739
gx -0.00244787, gy 0.00172853, gz -7.21698e-05
qx -0.00155607, qy -0.00173654, qz -0.714746
roll -0.00246001, pitch -0.0031152, yaw -0.0101953
ax 0.0445513, ay 0.00136989, az 9.80829
gx -0.001564, gy 0.00110095, gz -5.08033e-05
qx -0.00156721, qy -0.00166854, qz -0.714748
roll 0.00863807, pitch -0.00925619, yaw -0.0102676
ax 0.0443401, ay 0.00106259, az 9.80862
gx -0.00125026, gy 0.000878634, gz -4.26406e-05
qx -0.00157119, qy -0.00164442, qz -0.714748
roll 0.00299739, pitch -0.00612859, yaw -0.0102257
ax 0.0440373, ay 0.000623346, az 9.80908
gx -0.000799111, gy 0.000559609, gz -3.00023e-05
qx -0.00157695, qy -0.00160975, qz -0.714749
roll -0.00825826, pitch 0.000109959, yaw -0.010194
ax 0.0438448, ay 0.000345272, az 9.80938
gx -0.000510886, gy 0.00035641, gz -2.10251e-05
qx -0.00158067, qy -0.00158762, qz -0.71475
roll 0.00291115, pitch -0.00607326, yaw -0.0102288
ax 0.0437225, ay 0.000169278, az 9.80957
gx -0.00032671, gy 0.000226988, gz -1.4637e-05
qx -0.00158307, qy -0.0015735, qz -0.71475
roll -0.00831316, pitch 0.000139991, yaw -0.0101966
ax 0.0436793, ay 0.000107233, az 9.80963
gx -0.000261295, gy 0.000181145, gz -1.21733e-05
qx -0.00158393, qy -0.00156848, qz -0.71475
roll -0.00271972, pitch -0.00295507, yaw -0.0102049
ax 0.0436174, ay 1.85512e-05, az 9.80973
gx -0.000167178, gy 0.000115362, gz -8.35383e-06
qx -0.00158518, qy -0.00156127, qz -0.714751
roll 0.00846867, pitch -0.00914552, yaw -0.0102731
ax 0.0435955, ay -1.2748e-05, az 9.80977
gx -0.000133741, gy 9.20615e-05, gz -6.88846e-06
qx -0.00158562, qy -0.00155872, qz -0.714751
